FEATUREID,STRATNO,MAPSYMBOL,PLOTSYMBOL,NAME,DESCR,REPAGE_URI,YNGAGE_URI,LITHOLOGY,REPLITH_UR
GA_GUP2.5M_0003509,76608,-Ppw,Ls,Paleoproterozoic sedimentary rocks,Predominantly sedimentary rocks,Paleoproterozoic,Orosirian,sedimentary,sedimentary_rock
GA_GUP2.5M_0003510,76583,-Ppjg,Lg,Paleoproterozoic granites,Mainly felsic intrusive rocks,Paleoproterozoic,Statherian,igneous felsic intrusive,granitoid
GA_GUP2.5M_0003511,76504,A4f,Af,Archean felsic volcanics,Mainly felsic volcanics including lavas and tuffs,Archean,Neoarchean,igneous felsic volcanic,rhyolitoid
GA_GUP2.5M_0003512,76670,-PnO,NOs,Neoproterozoic to Ordovician sedimentary rocks,Predominantly sedimentary rocks,Neoproterozoic,Ordovician,sedimentary,sedimentary_rock
GA_GUP2.5M_0003513,76610,-Ppo,Ls,Paleoproterozoic sedimentary rocks,Predominantly sedimentary rocks,Paleoproterozoic,Orosirian,sedimentary,sedimentary_rock
GA_GUP2.5M_0003514,76566,Kl,Ks,Cretaceous sedimentary rocks,Predominantly sedimentary rocks,Cretaceous,UpperCretaceous,sedimentary,sedimentary_rock
GA_GUP2.5M_0003515,76637,-Pmig,Mg,Mesoproterozoic granites,Mainly felsic intrusive rocks,Mesoproterozoic,Mesoproterozoic,igneous felsic intrusive,granitoid
GA_GUP2.5M_0003516,76543,Czy,Czu,Cenozoic alluvium,Surficial or regolith units,Cenozoic,Holocene,regolith,material_formed_in_surficial_environment
GA_GUP2.5M_0003517,76546,DuCl,DCs,Devonian to Carboniferous volcaniclastic sedimentary rocks,Predominantly volcaniclastic sedimentary rocks,Devonian,Mississippian,sedimentary,sedimentary_rock
GA_GUP2.5M_0003518,76566,Kl,Ks,Cretaceous sedimentary rocks,Predominantly sedimentary rocks,Cretaceous,UpperCretaceous,sedimentary,sedimentary_rock
